,city,clouds,country,humidity,lat,lon,max_temp,wind_speed
0,hobart,40,AU,42,-42.88,147.33,64.4,21.92
1,taolanaro,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,karlskrona,100,SE,100,56.16,15.59,53.6,5.82
3,mar del plata,0,AR,25,-46.43,-67.52,64.75,10.02
4,albany,1,US,86,42.65,-73.75,41,1.97
5,castro,0,CL,100,-42.48,-73.76,42.8,3.36
6,yumen,0,CN,18,40.29,97.04,49.69,7
7,umkomaas,24,ZA,88,-30.21,30.8,68,1.01
8,mangan,30,IN,47,27.5,88.54,62.2,3.33
9,punta arenas,0,CL,50,-53.16,-70.91,51.8,10.29
10,jemnice,90,CZ,100,49.02,15.57,52,5.82
11,khatanga,94,RU,87,71.98,102.47,1.3,10
12,ancud,0,CL,100,-41.87,-73.83,42.8,3.36
13,victoria,75,BN,70,5.28,115.24,89.6,1.12
14,kavieng,33,PG,73,-2.57,150.8,83.74,10.07
15,sambava,46,MG,80,-14.27,50.17,68.3,3.06
16,umm durman,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,guiratinga,100,BR,89,-16.35,-53.76,72.2,1.41
18,barrow,0,AR,70,-38.31,-60.23,53.65,11.54
19,mataura,100,NZ,86,-46.19,168.86,54,5.01
20,puerto ayora,48,EC,88,-0.74,-90.35,68,7
21,torbay,90,CA,93,47.66,-52.73,48.99,20.8
22,arraial do cabo,80,BR,89,-22.97,-42.02,72.64,9.89
23,saldanha,94,PT,82,41.42,-6.55,47.09,14.56
24,yellowknife,20,CA,86,62.45,-114.38,28.99,6.93
25,haines junction,98,CA,90,60.75,-137.51,25.39,2.89
26,catamarca,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,jamestown,0,AU,23,-33.21,138.6,71.57,6.55
28,provideniya,48,RU,82,64.42,-173.23,22.6,5.53
29,sao bento do una,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,sechura,57,PE,87,-5.56,-80.82,63.47,12.41
31,rwamagana,88,RW,93,-1.95,30.43,66,1.99
32,saint-pierre,99,FR,100,48.95,4.24,53.6,2.24
33,qaanaaq,0,GL,48,77.48,-69.36,0.87,6.31
34,bereda,20,ES,100,43.27,-7.54,48.99,1.12
35,karratha,85,AU,13,-20.74,116.85,98.95,6.96
36,east london,90,ZA,93,-33.02,27.91,66.2,12.75
37,tuban,100,ID,33,-6.9,112.07,93.89,13.02
38,lorengau,90,PG,80,-2.02,147.27,83.06,7.27
39,saleaula,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,san patricio,38,PY,80,-26.98,-56.83,61.21,6.89
41,butaritari,74,KI,72,3.07,172.79,84.62,9.91
42,vaini,75,IN,100,15.34,74.49,73.4,3.36
43,rikitea,54,PF,73,-23.12,-134.97,69.11,18.05
44,louisbourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,hualmay,85,PE,89,-11.1,-77.61,61.82,17.6
46,meshchovsk,100,RU,90,54.32,35.29,50.12,8.5
47,maragua,75,KE,93,-0.8,37.13,62.6,5.82
48,mungeli,100,IN,80,22.07,81.69,74.87,4.52
49,gemena,94,CD,98,3.25,19.78,67.88,0.83
50,talnakh,40,RU,92,69.49,88.39,14,15.05
51,pangnirtung,89,CA,54,66.15,-65.72,13.9,2.04
52,tiksi,80,RU,95,71.64,128.87,7.62,4.85
53,gigmoto,100,PH,71,13.78,124.39,83.08,3.49
54,oga,75,IT,100,46.46,10.35,46.4,1.12
55,oriximina,48,BR,80,-1.77,-55.87,79.94,4.61
56,mandalgovi,27,MN,31,45.76,106.27,37.63,7.45
57,kapaa,40,US,74,22.08,-159.32,82.4,11.41
58,codrington,40,AU,47,-28.95,153.24,77,17.22
59,barra do garcas,100,BR,86,-15.89,-52.26,71.74,3.8
60,pevek,99,RU,73,69.7,170.27,26.88,17.36
61,comodoro rivadavia,0,AR,30,-45.87,-67.48,69.8,11.41
62,touros,75,BR,88,-5.2,-35.46,75.2,4.7
63,kothen,91,DE,95,50.37,9.77,55.99,3.76
64,geraldton,90,CA,93,49.72,-86.95,48.2,10.29
65,bredasdorp,0,ZA,87,-34.53,20.04,55.4,6.93
66,cape town,0,ZA,100,-33.93,18.42,62.01,2.24
67,tsihombe,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,upernavik,100,GL,76,72.79,-56.15,27.55,11.1
69,souillac,100,FR,100,45.6,-0.6,55.4,4.7
70,lasa,20,CY,82,34.92,32.53,68,6.93
71,ushuaia,75,AR,43,-54.81,-68.31,55.4,18.34
72,assiros,75,GR,93,40.82,23.03,63,2.24
73,saint-philippe,1,CA,93,45.36,-73.48,39,3.36
74,santa lucia,0,IT,87,41.98,12.66,64.4,2.24
75,port elizabeth,1,US,87,39.31,-74.98,54,4.25
76,norman wells,75,CA,92,65.28,-126.83,30.2,3.36
77,hermanus,0,ZA,96,-34.42,19.24,59,8.3
78,samana,91,EC,99,0.12,-76.97,70.57,1.03
79,bandarbeyla,98,SO,82,9.49,50.81,74.89,9.82
80,kahului,20,US,55,20.89,-156.47,86,12.75
81,yumbe,0,UG,91,3.47,31.25,64.03,3.6
82,gangotri,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,thompson,90,CA,80,55.74,-97.86,39.2,10.29
84,batavia,1,US,93,43,-78.19,46,3.36
85,atuona,0,PF,71,-9.8,-139.03,79.93,17.83
86,san bartolome de tirajana,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,kodiak,1,US,93,39.95,-94.76,50,4.32
88,ixtapa,90,MX,100,20.71,-105.21,77,7.2
89,hasaki,75,JP,64,35.73,140.83,73.99,11.41
90,luderitz,0,NA,76,-26.65,15.16,58.16,17.98
91,bairiki,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,hithadhoo,99,MV,79,-0.6,73.08,81.8,15.57
93,zhicheng,100,CN,46,35.04,112.59,71.93,2.64
94,sabang,2,PH,83,13.8,121.11,82,5.99
95,chokurdakh,41,RU,94,70.62,147.9,3.68,8.61
96,verkhoyansk,96,RU,90,67.55,133.39,19.27,1.25
97,goderich,72,CA,91,43.74,-81.71,46,11.99
98,ewa beach,90,US,74,21.32,-158.01,87.8,9.17
99,saint-joseph,90,FR,88,43.56,6.97,69.01,6.58
